eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
50.0,-49.95,0.1892561912536621,439,13800,5.812046051025391,0.8207651376724243,276000,22.13324546813965
50.0,-49.94,0.4993451237678528,439,13900,5.836620330810547,0.7953859567642212,278000,13.923728942871094
50.0,-49.92,0.10783237218856812,439,14000,5.862403869628906,-3.8304104804992676,280000,24.632152557373047
50.0,-49.91,0.17115896940231323,439,14100,5.847408771514893,-3.2600197792053223,282000,23.07851791381836
50.0,-49.87,0.2654687166213989,439,14200,5.8100481033325195,-6.69791841506958,284000,21.617788314819336
50.0,-49.93,0.19029080867767334,439,14300,5.801117897033691,0.3154759109020233,286000,22.12913703918457
50.0,-49.94,0.11286377906799316,439,14400,5.803902626037598,-5.683396816253662,288000,25.067338943481445
50.0,-49.97,0.5027220249176025,439,14500,5.817483425140381,0.6811638474464417,290000,13.5730619430542
50.0,-49.93,0.08153611421585083,439,14600,5.838075160980225,-9.123152732849121,292000,28.84506607055664
50.0,-49.9,0.16354835033416748,439,14700,5.849733352661133,-6.626428604125977,294000,24.2883243560791
50.0,-49.93,0.3827134966850281,439,14800,5.8417558670043945,7.385068893432617,296000,18.049072265625
50.0,-49.93,0.5209434330463409,439,14900,5.841241836547852,-7.365693092346191,298000,14.813824653625488
50.0,-49.96,-0.020258069038391113,439,15000,5.838555812835693,-3.2050058841705322,300000,28.904132843017578
50.0,-49.99,0.24840086698532104,439,15100,5.824212074279785,-8.737471580505371,302000,22.678634643554688
50.0,-49.96,0.14354032278060913,439,15200,5.806026458740234,-9.773863792419434,304000,26.007923126220703
50.0,-49.93,0.16814863681793213,439,15300,5.802234172821045,-1.857306718826294,306000,22.896533966064453
50.0,-49.93,0.16475486755371094,439,15400,5.813283920288086,-3.202207088470459,308000,22.806076049804688
50.0,-49.9,0.1302318572998047,439,15500,5.805078506469727,-5.9966278076171875,310000,24.014720916748047
50.0,-49.84,0.13127535581588745,439,15600,5.786303520202637,-5.313302993774414,312000,24.452314376831055
50.0,-49.88,0.4279261827468872,439,15700,5.795262336730957,5.140354633331299,314000,16.22123146057129
50.0,-49.9,0.5716429948806763,439,15800,5.798069000244141,-1.634177327156067,316000,11.801247596740723
50.0,-49.92,0.18616515398025513,439,15900,5.841091632843018,0.0637616366147995,318000,22.194625854492188
50.0,-49.92,0.19677871465682983,439,16000,5.836376667022705,-2.2033655643463135,320000,21.974933624267578
50.0,-49.87,0.14076226949691772,439,16100,5.813923358917236,-1.7776604890823364,322000,23.587596893310547
50.0,-49.88,0.1386338472366333,438,16200,5.8192877769470215,-7.354160785675049,324000,24.578678131103516
50.0,-49.88,0.2306610345840454,438,16300,5.849948406219482,-5.48649787902832,326000,21.87934112548828
50.0,-49.92,0.15394562482833862,438,16400,5.864536285400391,-4.891578197479248,328000,24.326885223388672
