eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
383.2,3566.2453631899994,424,0.012557499,0.14360352,-0.11208516,0.0007734064,0.04238057,0.47606468200683594,59,120832,282.4441809160053,120832
399.21,3715.42840393,425,0.012229621,0.13544922,-0.11938165,1.8184155e-05,0.027318206,0.47095441818237305,60,122880,287.25274337000155,122880
408.15,3798.77104285,438,0.020382587,0.15830079,-0.12197594,-0.0052690217,0.062831536,0.501239150762558,61,124928,291.9263543249981,124928
426.83,3972.7983845699996,426,0.009715288,0.111816406,-0.122652814,-8.525277e-05,0.02810191,-0.07238209247589111,62,126976,296.7302643550065,126976
435.96,4057.84256956,434,0.011266274,0.12382813,-0.12921348,-0.0017919736,0.03912099,0.6259008944034576,63,129024,301.4490221849992,129024
453.42,4220.53227362,430,0.012374498,0.1338379,-0.12569046,0.00013193386,0.04212203,0.2920735478401184,64,131072,306.2066525209957,131072
463.58,4315.20783169,458,0.011971769,0.13012695,-0.13574103,0.0005018326,0.04360165,0.5274763107299805,65,133120,310.6766956509964,133120
472.73,4400.460250839999,426,0.009111689,0.105371095,-0.1553416,-0.0031406195,0.025073314,0.16798412799835205,66,135168,315.48453713599883,135168
469.55,4370.865400909999,436,0.011250252,0.1347168,-0.16222094,-0.0058720885,0.01941684,0.42026060819625854,67,137216,320.1815578120004,137216
481.5,4482.21884724,434,0.011450422,0.13154297,-0.15990628,0.00071840535,0.03655756,-0.03531527519226074,68,139264,324.89109948600526,139264
482.81,4494.492628200001,442,0.009221965,0.11035156,-0.15334563,-0.0029772893,0.037099246,0.44966888427734375,69,141312,329.51853118000145,141312
496.03,4617.57797592,424,0.012803328,0.1480957,-0.14277889,0.0011510777,0.02957522,0.4036167860031128,70,143360,334.34403939699405,143360
501.4,4667.6703064700005,436,0.0104729775,0.12036133,-0.14431976,-0.0011890793,0.036543563,0.35263878107070923,71,145408,339.0353560450021,145408
514.03,4785.38476241,428,0.008940989,0.10883789,-0.14504002,0.005990243,0.031810194,0.3023011088371277,72,147456,343.8179739519983,147456
521.17,4851.878174119999,426,0.013415543,0.15234375,-0.1430873,-0.0009231733,0.029839834,0.3817971348762512,73,149504,348.6194186479988,149504
529.43,4928.904013809999,432,0.012837854,0.1540039,-0.14290905,-0.0058675106,0.02418372,-0.07997286319732666,74,151552,353.35212520099594,151552
544.55,5069.855192309999,419,0.01134412,0.13286133,-0.13528712,-0.0028200431,0.027123775,0.40298962593078613,75,153600,358.2338354399981,153600
553.28,5151.245193520001,420,0.0084581645,0.10288086,-0.12684874,-0.0003813993,0.030273166,0.2138996124267578,76,155648,363.1024047569954,155648
561.3,5225.91860388,427,0.010780605,0.12568359,-0.12361412,-0.00059870176,0.024614913,0.4601929187774658,77,157696,367.8885939030006,157696
543.65,5061.51358922,435,0.022205617,0.13515624,-0.12422848,0.00014792636,0.042530887,0.3827474117279053,78,159744,372.5929192890035,159744
562.3,5235.23864883,421,0.008850868,0.103271484,-0.12489828,-0.0030312028,0.022826236,0.4704802632331848,79,161792,377.45384969700535,161792
568.25,5290.634120830001,427,0.01284565,0.1416504,-0.12615068,-0.0039700815,0.017492875,0.5047315061092377,80,163840,382.2497938640008,163840
576.15,5364.261624939999,422,0.011991115,0.13579102,-0.13860396,-0.0041503436,0.03242735,0.525790810585022,81,165888,387.09493796600145,165888
574.1,5345.10869444,429,0.013411691,0.15185547,-0.15365928,-0.004555924,0.04081788,0.5387046933174133,82,167936,391.86245534899354,167936
569.53,5302.52854416,424,0.008253093,0.10048828,-0.15225935,-0.001814029,0.025577042,0.19850432872772217,83,169984,396.6929363459931,169984
581.02,5409.545066420001,434,0.014929628,0.12827149,-0.15375786,-0.0039313063,0.012404079,0.6306890547275543,84,172032,401.40162267499545,172032
592.48,5516.324980009999,430,0.012280854,0.14873047,-0.1573472,0.0002818168,0.03937287,0.37724995613098145,85,174080,406.1584270000021,174080
590.62,5498.99788103,433,0.008966754,0.11044922,-0.15840995,0.00014874208,0.036184017,0.42822664976119995,86,176128,410.8866377380036,176128
599.3,5579.92015466,430,0.012145585,0.14331055,-0.1509733,0.001214964,0.02426086,-0.0857003927230835,87,178176,415.6455329510063,178176
606.74,5649.31123637,430,0.0149205355,0.16113281,-0.14397919,0.0019246772,0.029130708,0.35199785232543945,88,180224,420.40525214500667,180224
598.38,5571.532086639998,444,0.01671529,0.15405273,-0.14371186,-0.0025321655,0.03401523,0.5726189911365509,89,182272,425.01819006199366,182272
605.31,5636.156503279998,429,0.011484298,0.14003906,-0.1361016,-0.00202743,0.02407324,-0.12818419933319092,90,184320,429.78864752300433,184320
616.77,5742.992024339998,426,0.013848956,0.12138672,-0.13222866,-0.0009954558,0.027309027,0.6578967571258545,91,186368,434.58870007199585,186368
616.77,5743.033030150001,434,0.014330004,0.17041016,-0.124928676,-0.0012619402,0.025554871,-0.09212684631347656,92,188416,439.3013746479992,188416
622.42,5795.760552750001,430,0.012146792,0.13637695,-0.12070408,-0.004428611,0.034437012,0.3853297829627991,93,190464,444.0573806769971,190464
615.69,5733.0755654899995,422,0.010149537,0.122363284,-0.1175793,-0.0021053394,0.02371484,0.5547009408473969,94,192512,448.8998694070033,192512
625.47,5824.34912201,428,0.009538028,0.11484375,-0.11689176,-0.0039518615,0.036848184,0.4155804514884949,95,194560,453.67655744199874,194560
619.35,5767.4846528299995,426,0.013205153,0.14731446,-0.115903005,0.0016449895,0.035936706,0.4269046187400818,96,196608,458.4826783890021,196608
621.0,5782.9495508499995,434,0.012907232,0.14121094,-0.116008535,-0.0030494307,0.03174759,0.1263708472251892,97,198656,463.19430228900455,198656
587.61,5472.1109859299995,432,0.010680452,0.12148438,-0.12702045,-0.0038002618,0.064068004,0.5179903507232666,98,200704,467.93425254299655,200704
587.61,5472.180061090001,432,0.011697024,0.13789062,-0.13548489,-0.003311739,0.02129979,-0.01929926872253418,99,202752,472.66639013399254,202752
603.5,5620.282757470001,432,0.011791369,0.1347168,-0.13598359,0.00012575691,0.021850709,-0.11681771278381348,100,204800,477.40079322499514,204800
591.23,5506.030955200001,423,0.011127761,0.1340332,-0.13523975,-0.0037920177,0.039562263,0.4249512553215027,101,206848,482.2374667480035,206848
578.11,5383.853321959999,437,0.010865181,0.13076171,-0.1303179,-0.005650932,0.020652171,0.6545962393283844,102,208896,486.91775357000006,208896
580.32,5404.543074329999,431,0.009164296,0.111523435,-0.124742225,0.00011221603,0.022720657,-0.11443161964416504,103,210944,491.66019362100633,210944
583.19,5431.41622539,425,0.010477058,0.13232422,-0.117218815,-0.0021412552,0.020001948,0.353344202041626,104,212992,496.4708262159984,212992
588.32,5479.247972130001,431,0.01169996,0.1373047,-0.11051176,-0.0032025133,0.032885097,0.2908611297607422,105,215040,501.22208307799883,215040
584.5,5443.81387934,430,0.006679388,0.084472656,-0.09611609,-0.0027372865,0.042295568,0.41457515954971313,106,217088,505.97672869199596,217088
590.11,5496.07513026,425,0.009788391,0.11420898,-0.087748565,-0.0031239784,0.028337205,0.42000865936279297,107,219136,510.79196453299664,219136
596.84,5558.882475899999,437,0.008693473,0.11015625,-0.08321603,-0.0018205149,0.016730588,0.45011210441589355,108,221184,515.4768131489982,221184
579.82,5400.370210429999,427,0.0073547526,0.090625,-0.07876505,-0.0038232938,0.0438444,0.5026923418045044,109,223232,520.271984845007,223232
