epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
135,0.8753386,0.08530843,0.26266426,0.030451769,1360.0,-0.0766722,0.9916666,1360.0,0.7083333
136,0.87538975,0.085300356,0.26267704,0.030448759,1370.0,-0.06340318,1.0,1370.0,0.6666667
137,0.87538743,0.08531252,0.262677,0.030453226,1380.0,-0.068735085,1.0,1380.0,0.73333335
138,0.8753862,0.08527317,0.26267797,0.030442735,1390.0,-0.05280896,1.0,1390.0,0.7083333
139,0.8754153,0.0852981,0.26268503,0.030447146,1400.0,-0.084561445,1.0,1400.0,0.675
140,0.87535423,0.085305095,0.26266938,0.030448616,1410.0,-0.054487456,1.0,1410.0,0.675
141,0.87536305,0.085317396,0.26267198,0.03045169,1420.0,-0.06301861,1.0,1420.0,0.76666665
142,0.8753832,0.085307024,0.2626767,0.030446569,1430.0,-0.08833935,0.98333335,1430.0,0.7166667
143,0.8754194,0.08528844,0.26268432,0.030439282,1440.0,-0.06400412,1.0,1440.0,0.73333335
144,0.8754061,0.08528495,0.2626818,0.030437937,1450.0,-0.0572866,0.9916666,1450.0,0.6916666
145,0.87545556,0.0852885,0.26269403,0.03043819,1460.0,-0.052189413,1.0,1460.0,0.675
146,0.87547797,0.08528262,0.26269975,0.030436045,1470.0,-0.04928747,1.0,1470.0,0.675
147,0.8754485,0.08528302,0.26269197,0.030436387,1480.0,-0.06673352,1.0,1480.0,0.75
148,0.875459,0.085270576,0.26269242,0.03043288,1490.0,-0.062147733,1.0,1490.0,0.6666667
149,0.87541753,0.085280396,0.26268038,0.030435711,1500.0,-0.06708491,1.0,1500.0,0.73333335
150,0.87540483,0.085296534,0.26267666,0.0304405,1510.0,-0.051593136,1.0,1510.0,0.7916667
151,0.87537044,0.085289896,0.26266834,0.03043962,1520.0,-0.050337475,1.0,1520.0,0.7166667
152,0.8753651,0.08530005,0.26266876,0.0304405,1530.0,-0.07988103,0.9916666,1530.0,0.6416667
153,0.8753689,0.08531752,0.26266927,0.03044431,1540.0,-0.053196877,1.0,1540.0,0.7833333
154,0.8753915,0.0853241,0.26267532,0.030445496,1550.0,-0.089023225,1.0,1550.0,0.68333334
155,0.87534827,0.0853177,0.2626646,0.030443246,1560.0,-0.046890035,1.0,1560.0,0.7
156,0.8753777,0.085309625,0.26267138,0.030440295,1570.0,-0.07058704,1.0,1570.0,0.7583334
157,0.87535787,0.08530348,0.26266417,0.030437717,1580.0,-0.070884235,0.9916666,1580.0,0.72499996
158,0.8753926,0.08531216,0.2626726,0.03043946,1590.0,-0.057843935,1.0,1590.0,0.69166666
159,0.87542915,0.08530287,0.26268262,0.03043685,1600.0,-0.05535339,1.0,1600.0,0.77500004
160,0.8753999,0.085298024,0.26267478,0.030435503,1610.0,-0.060111422,1.0,1610.0,0.75
161,0.8754198,0.08529689,0.2626794,0.030434677,1620.0,-0.064479135,1.0,1620.0,0.6333333
162,0.8754248,0.08530214,0.2626807,0.0304344,1630.0,-0.054462653,1.0,1630.0,0.7833333
163,0.8754699,0.085288785,0.26269156,0.030430675,1640.0,-0.05323513,1.0,1640.0,0.69166666
164,0.87546587,0.085288145,0.2626896,0.030429775,1650.0,-0.045177285,1.0,1650.0,0.675
165,0.87547296,0.08529457,0.26269236,0.030431783,1660.0,-0.059743118,1.0,1660.0,0.76666665
166,0.8755054,0.08529232,0.2627012,0.030430773,1670.0,-0.06590288,1.0,1670.0,0.7083333
167,0.8755191,0.08527813,0.26270682,0.030426135,1680.0,-0.053750724,1.0,1680.0,0.68333334
168,0.8755238,0.08528769,0.26270813,0.030428896,1690.0,-0.059304666,1.0,1690.0,0.75
169,0.8755414,0.0852955,0.26271266,0.030431071,1700.0,-0.07570251,1.0,1700.0,0.72499996
